seed,mode,turns,winner,seat
199,selfplay,300,AI 3,3
200,selfplay,300,AI 1,0
201,selfplay,300,AI 2,0
202,selfplay,300,AI 4,1
203,selfplay,300,AI 4,0
204,selfplay,300,AI 4,3
205,selfplay,300,AI 2,0
206,selfplay,300,AI 4,1
207,selfplay,300,AI 2,2
208,selfplay,300,AI 4,3
209,selfplay,300,AI 1,3
210,selfplay,300,AI 1,2
211,selfplay,300,AI 1,1
212,selfplay,300,AI 4,3
213,selfplay,300,AI 2,0
214,selfplay,300,AI 4,1
215,selfplay,300,AI 1,1
216,selfplay,300,AI 4,3
217,selfplay,300,AI 3,1
218,selfplay,300,AI 3,0
219,selfplay,300,AI 1,1
220,selfplay,300,AI 4,3
221,selfplay,300,AI 3,1
222,selfplay,300,AI 3,0
223,selfplay,300,AI 3,3
224,selfplay,300,AI 4,3
225,selfplay,300,AI 4,2
226,selfplay,300,AI 1,2
227,selfplay,300,AI 4,0
228,selfplay,300,AI 1,0
229,selfplay,300,AI 4,2
230,selfplay,300,AI 2,3
231,selfplay,300,AI 2,2
232,selfplay,300,AI 3,2
233,selfplay,300,AI 1,3
234,selfplay,300,AI 4,1
235,selfplay,300,AI 3,3
236,selfplay,300,AI 3,2
237,selfplay,300,AI 2,0
238,selfplay,300,AI 3,0
239,selfplay,300,AI 2,2
240,selfplay,300,AI 4,3
241,selfplay,300,AI 3,1
242,selfplay,300,AI 3,0
243,selfplay,300,AI 4,0
244,selfplay,300,AI 4,3
245,selfplay,300,AI 1,3
246,selfplay,300,AI 2,3
247,selfplay,300,AI 1,1
248,selfplay,300,AI 1,0
249,selfplay,300,AI 3,1
250,selfplay,300,AI 1,2
251,selfplay,300,AI 4,0
252,selfplay,300,AI 1,0
253,selfplay,300,AI 4,2
254,selfplay,300,AI 4,1
255,selfplay,300,AI 2,2
256,selfplay,300,AI 2,1
257,selfplay,300,AI 2,0
258,selfplay,300,AI 3,0
259,selfplay,300,AI 4,0
260,selfplay,300,AI 1,0
261,selfplay,300,AI 3,1
262,selfplay,300,AI 2,3
263,selfplay,300,AI 2,2
264,selfplay,300,AI 3,2
265,selfplay,300,AI 2,0
266,selfplay,300,AI 2,3
