seed,mode,turns,winner,seat
199,selfplay,300,AI 1,1
200,selfplay,300,AI 1,0
201,selfplay,300,AI 1,3
202,selfplay,300,AI 4,1
203,selfplay,300,AI 2,2
204,selfplay,300,AI 1,0
205,selfplay,300,AI 2,0
206,selfplay,300,AI 2,3
207,selfplay,300,AI 1,1
208,selfplay,300,AI 2,1
209,selfplay,300,AI 1,3
210,selfplay,300,AI 3,0
211,selfplay,300,AI 3,3
212,selfplay,300,AI 3,2
213,selfplay,300,AI 3,1
214,selfplay,300,AI 2,3
215,selfplay,300,AI 4,0
216,selfplay,300,AI 3,2
217,selfplay,300,AI 3,1
218,selfplay,300,AI 4,1
219,selfplay,300,AI 3,3
220,selfplay,300,AI 4,3
221,selfplay,300,AI 2,0
222,selfplay,300,AI 1,2
223,selfplay,300,AI 1,1
224,selfplay,300,AI 4,3
225,selfplay,300,AI 4,2
226,selfplay,300,AI 3,0
227,selfplay,300,AI 2,2
228,selfplay,300,AI 2,1
229,selfplay,300,AI 4,2
230,selfplay,300,AI 2,3
231,selfplay,300,AI 3,3
232,selfplay,300,AI 1,0
233,selfplay,300,AI 2,0
234,selfplay,300,AI 3,0
235,selfplay,300,AI 4,0
236,selfplay,300,AI 4,3
237,selfplay,300,AI 3,1
238,selfplay,300,AI 3,0
239,selfplay,300,AI 3,3
240,selfplay,300,AI 3,2
241,selfplay,300,AI 1,3
242,selfplay,300,AI 3,0
243,selfplay,300,AI 1,1
244,selfplay,300,AI 2,1
245,selfplay,300,AI 3,1
246,selfplay,300,AI 4,1
247,selfplay,300,AI 2,2
248,selfplay,300,AI 2,1
249,selfplay,300,AI 1,3
250,selfplay,300,AI 2,3
251,selfplay,300,AI 4,0
252,selfplay,300,AI 3,2
253,selfplay,300,AI 2,0
254,selfplay,300,AI 1,2
255,selfplay,300,AI 3,3
256,selfplay,300,AI 1,0
257,selfplay,300,AI 2,0
258,selfplay,300,AI 3,0
259,selfplay,300,AI 4,0
260,selfplay,300,AI 2,1
261,selfplay,300,AI 3,1
262,selfplay,300,AI 1,2
263,selfplay,300,AI 2,2
264,selfplay,300,AI 3,2
265,selfplay,300,AI 2,0
266,selfplay,300,AI 4,1
267,selfplay,300,AI 1,1
268,selfplay,300,AI 3,2
269,selfplay,300,AI 2,0
